ts,src_ip,dest_ip,signature,category,app_proto,severity,community_id
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE Possible SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:AJEx+Y+Pu/3A6EsJVRxumEKxuMU=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:McqAF1nhO1izQ8znHI8YUzmITHo=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE Possible SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:McqAF1nhO1izQ8znHI8YUzmITHo=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:iJILZUvbD8ly0d5OIzPqFU2WxgA=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE Possible SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:iJILZUvbD8ly0d5OIzPqFU2WxgA=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:/c0Jhghnl2uaIeBrxHP3zVlNKOI=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE Possible SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:/c0Jhghnl2uaIeBrxHP3zVlNKOI=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:J0NSgxg2DjqeW6FaiEOLaK2Szjw=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE Possible SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:J0NSgxg2DjqeW6FaiEOLaK2Szjw=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:W534xO3FmZ8u6mO7cjvHVGm/mUQ=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE Possible SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:W534xO3FmZ8u6mO7cjvHVGm/mUQ=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:LE9UCjFwagR2CB6d/+etmWnu+Ac=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE Possible SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:LE9UCjFwagR2CB6d/+etmWnu+Ac=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:s9S8lSfoWQJlXNbPHIhTXNPLDDU=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE Possible SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:s9S8lSfoWQJlXNbPHIhTXNPLDDU=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:dtXLI3Ip4I2IXpnAXNxmALeG9oI=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE Possible SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:dtXLI3Ip4I2IXpnAXNxmALeG9oI=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:FW+BuExMcPyoW3l5EVZ/zfm50sM=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE Possible SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:FW+BuExMcPyoW3l5EVZ/zfm50sM=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:/fGOPJul4AJskDpIlCwEB/fqGcA=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE Possible SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:/fGOPJul4AJskDpIlCwEB/fqGcA=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:ZSW4Ex4tbr7/tKkq3cgBlR8L4nU=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE Possible SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:ZSW4Ex4tbr7/tKkq3cgBlR8L4nU=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:ga0ppWnKgVpRIHSx7TIpvpRNn04=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE Possible SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:ga0ppWnKgVpRIHSx7TIpvpRNn04=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:T2wZXKB3g4GH+EPJyIjnqaWZPb4=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE Possible SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:T2wZXKB3g4GH+EPJyIjnqaWZPb4=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:ZJ6MZRmWLF6CqaAbcksTTITVXeo=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE Possible SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:ZJ6MZRmWLF6CqaAbcksTTITVXeo=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:s/eHiiMvoiJ+HglPp2NSWng/n8I=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE Possible SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:s/eHiiMvoiJ+HglPp2NSWng/n8I=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:6CSsFO8tHb/AC0aZrIPheA8Kk7c=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE Possible SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:6CSsFO8tHb/AC0aZrIPheA8Kk7c=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:hPXLZgJnaJMEesfQ4Y9Mg+69xrA=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE Possible SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:hPXLZgJnaJMEesfQ4Y9Mg+69xrA=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:Md2xBctPKIahh44LpNP3N5f7tIw=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE Possible SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:Md2xBctPKIahh44LpNP3N5f7tIw=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:o9R/mkwEP1lWipucbYMJ89mv5mE=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE Possible SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:o9R/mkwEP1lWipucbYMJ89mv5mE=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:zrPbwHLQDMP2e75lL3DGjO1WtVk=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE Possible SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:zrPbwHLQDMP2e75lL3DGjO1WtVk=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:MXnrtv10AL0j723vb/H5xRqayuQ=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE Possible SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:MXnrtv10AL0j723vb/H5xRqayuQ=
2021-09-24T16:59:16.205201Z,10.9.23.102,136.232.34.70,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:ia5YIL/mjZcVwnXd1isTvajm9l0=
2021-09-24T16:59:36.170261Z,10.9.23.102,136.232.34.70,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:4pl6A5z/BLgfdxpQH0UKsylkIxM=
2021-09-24T17:00:04.093354Z,10.9.23.102,10.9.23.5,ET INFO External IP Lookup Domain (ipify .org) in DNS Lookup,Misc activity,dns,3,1:2XXehYz5JuwJchvFUToTHkXMe6k=
